id,conversation_id,user_query,agent_reply,router agent response,rouge
1,1,"Hi, I'm looking to get motor insurance for my new electric vehicle. It's a 2024 Tesla Model 3.","Great choice! The Tesla Model 3 is an excellent vehicle. Since you've opted for an EV, are you particularly interested in coverage specific to electric vehicles, like battery protection?","Absolutely. The battery is the heart of your Tesla. With Tata AIG, you get rapid claims resolution combining thorough coverage with rapid claims resolution. It Current User Utterance: User: What kind of coverage options do you have specifically for EVs? Intent: Ask Coverage Details Keyterms: Coverage options, EVs Sentiment: Neutral Persuasion: None analyze text: None detect language: None get dependencies: None get S",0.19354838709677416
2,1,"Yes, battery protection is definitely a concern. It's a big investment, and I want to make sure it's covered.","Absolutely. The battery is the heart of your Tesla. With Tata AIG, you get rapid claims resolution combining thorough coverage with rapid claims resolution. It integrates technology with traditional risk management practices, ensuring that claims are processed quickly and effectively.","I understand your concern about the battery protection for your 2024 Tesla Model 3. It’s a significant investment, and we want to make sure you’re fully covered. Let’s explore the options we have available to safeguard your vehicle’s battery.",0.19277108433734938
3,1,What kind of coverage options do you have specifically for EVs?,"We offer a comprehensive plan that includes coverage for accidental damage, theft, and third-party liability. More importantly, we offer add-ons like Zero Depreciation Cover and Engine & Gearbox Protection. And our online policy management system makes everything simple for someone like you.","We offer a range of coverage options specifically designed for electric vehicles like your Tesla Model 3. These include comprehensive protection for the battery, as well as coverage for accidental damage, theft, and third party liability. Would you like me to elaborate on any of these options?",0.4222222222222222
4,1,"Okay, that sounds pretty good. Can you give me a quote?","Sure. For a 2024 Tesla Model 3 with comprehensive coverage including battery protection and roadside assistance, the annual premium would be approximately $2800. This includes a discount for purchasing the policy online.","Certainly! I’d be happy to provide you with a quote for your 2024 Tesla Model 3. To give you the most accurate price, could you please tell me your location and annual mileage?",0.33333333333333337
5,1,That's within my budget. What's the claim process like if I need to use it?,"The claim process is designed to be as smooth and hassle-free as possible. Accidents are unpredictable, but the financial stress doesn’t have to be. We offer prompt claims settlement, so you can focus on recovery, not paperwork. Our team is available 24/7 to guide you through the process.","We offer a comprehensive plan that includes coverage for accidental damage, theft, and third party liability. More importantly, we offer add ons like Zero Depreciation Cover and Engine & Gearbox Protection. And our online policy management system makes everything simple for someone like you. If you need to file a claim, you’ll first need to report it through our app or website, providing details about the incident and any supporting documentation. Then, a claims adjuster will review your claim and contact you to discuss the",0.2058823529411765
6,2,"Hi, I'm looking to get insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.","The Interceptor 650 is an excellent bike! As a professional, do you use it mainly for leisure or commuting?","Absolutely. The engine is the heart of your Royal Enfield. With Tata AIG, you get rapid claims resolution combining thorough coverage with rapid assistance.",0.13953488372093023
7,2,"Mostly for weekend rides, so leisure I guess.","Since you are not a daily commuter, you might not need the most expensive plan out there. However, accidents can still happen, especially on leisure rides. Our comprehensive plan ensures you're financially protected from unexpected damages.","That’s fantastic! The Royal Enfield Interceptor 650 is a popular choice. To help me find the best coverage for you, could you tell me a bit more about your typical riding habits?",0.14285714285714285
8,2,What's covered in a comprehensive plan?,"It covers damages to your bike from accidents, theft, natural disasters, and third-party liabilities. Tata AIG is designed to address modern vehicle risks, this insurance product combines thorough coverage with rapid claims resolution.","Our comprehensive plan covers a wide range of potential issues, including damage from accidents, theft, and vandalism. It also includes third party liability, protecting you if you’re involved in an incident that causes harm to others.",0.3098591549295775
9,2,"Okay, that sounds good. What about roadside assistance?","Roadside assistance is available as part of our comprehensive coverage and offers help if you experience vehicle breakdowns, requiring towing services, tire changes, fuel delivery, or emergency repairs while on the road.","Roadside assistance is included in our comprehensive plan, providing you with peace of mind on your weekend rides.",0.32
10,2,How much would this cost me?,"For a 2022 Royal Enfield Interceptor 650 with comprehensive coverage, it would be approximately $950 annually. And since you only use your bike for leisure, we can offer a discount making it $850 annually.","We offer comprehensive EV coverage that includes battery protection, accidental damage, theft, and third party liability. These options are tailored to ensure your Tesla stays protected in all key areas.",0.18750000000000003
