id,conversation_id,user_query,agent_reply,single agent,rouge
1,1,"Hi, I'm looking to get motor insurance for my new electric vehicle. It's a 2024 Tesla Model 3.","Great choice! The Tesla Model 3 is an excellent vehicle. Since you've opted for an EV, are you particularly interested in coverage specific to electric vehicles, like battery protection?","Great! I'd be happy to help you find the best motor insurance for your Tesla Model 3. To get started, I'll need some more details like your location, age, driving history, and annual mileage. Let's proceed with that, and we can find the best policy for you.",0.25
2,1,"Yes, battery protection is definitely a concern. It's a big investment, and I want to make sure it's covered.","Absolutely. The battery is the heart of your Tesla. With Tata AIG, you get rapid claims resolution combining thorough coverage with rapid claims resolution. It integrates technology with traditional risk management practices, ensuring that claims are processed quickly and effectively.","Absolutely, I can help with that. Our policy offers comprehensive coverage for electric vehicle batteries, including battery degradation and replacement. Would you like to add this to your policy?",0.2318840579710145
3,1,What kind of coverage options do you have specifically for EVs?,"We offer a comprehensive plan that includes coverage for accidental damage, theft, and third-party liability. More importantly, we offer add-ons like Zero Depreciation Cover and Engine & Gearbox Protection. And our online policy management system makes everything simple for someone like you.","We offer comprehensive coverage for electric vehicles, including battery protection, which covers the cost of repair or replacement of the battery pack due to a covered loss. Additionally, we have coverage options for charging station damage, and even roadside assistance for electric vehicles, which can help in case of a battery drain or charging station malfunction.",0.26262626262626265
4,1,"Okay, that sounds pretty good. Can you give me a quote?","Sure. For a 2024 Tesla Model 3 with comprehensive coverage including battery protection and roadside assistance, the annual premium would be approximately $2800. This includes a discount for purchasing the policy online.","Of course! I'd be happy to help you get a quote for your Tesla Model 3. Let me just gather some information, and I'll get back to you with a quote in no time. Thank you for choosing Tata AIG for your insurance needs.",0.2564102564102564
5,1,That's within my budget. What's the claim process like if I need to use it?,"The claim process is designed to be as smooth and hassle-free as possible. Accidents are unpredictable, but the financial stress doesn’t have to be. We offer prompt claims settlement, so you can focus on recovery, not paperwork. Our team is available 24/7 to guide you through the process.","Our claim process is designed to be simple and straightforward. You can either call us directly, or submit a claim online through our website or mobile app. We will then assign a claims assessor to your case, who will guide you through the process. Rest assured, we will make every effort to settle your claim as quickly as possible.",0.4
6,2,"Hi, I'm looking to get insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.","The Interceptor 650 is an excellent bike! As a professional, do you use it mainly for leisure or commuting?","Great! I can help you find the right insurance policy for your 2022 Royal Enfield Interceptor 650. To get started, I'll need some information such as your location, driving history, and the level of coverage you're interested in. Let's start with your location, please.",0.1818181818181818
7,2,"Mostly for weekend rides, so leisure I guess.","Since you are not a daily commuter, you might not need the most expensive plan out there. However, accidents can still happen, especially on leisure rides. Our comprehensive plan ensures you're financially protected from unexpected damages.","Great! For leisure use, we recommend our Comprehensive Motorcycle Insurance policy, which covers damage to your bike, third party liability, and even personal accident coverage. Would you like to learn more about this policy or do you have any other questions?",0.17948717948717952
8,2,What's covered in a comprehensive plan?,"It covers damages to your bike from accidents, theft, natural disasters, and third-party liabilities. Tata AIG is designed to address modern vehicle risks, this insurance product combines thorough coverage with rapid claims resolution.","A comprehensive plan covers damages to your bike from accidents, theft, fire, and natural disasters. It also includes third party liability coverage, which protects you financially if you cause damage to someone else's property or injure someone during an accident. Additionally, it provides personal accident coverage for you and your pillion rider.",0.39080459770114945
9,2,"Okay, that sounds good. What about roadside assistance?","Roadside assistance is available as part of our comprehensive coverage and offers help if you experience vehicle breakdowns, requiring towing services, tire changes, fuel delivery, or emergency repairs while on the road.","Our comprehensive plan includes 24/7 roadside assistance, ensuring help is just a call away. This service includes towing, flat tire change, battery jumpstart, and fuel delivery. You can also avail of emergency travel assistance for medical emergencies, hotel booking, and car rental services.",0.4473684210526316
10,2,How much would this cost me?,"For a 2022 Royal Enfield Interceptor 650 with comprehensive coverage, it would be approximately $950 annually. And since you only use your bike for leisure, we can offer a discount making it $850 annually.","The cost of the comprehensive plan depends on various factors such as the bike's model, age, and location. I can help you get a personalized quote based on your specific details.",0.21212121212121213
