id,conversation_id,user_query,agent_reply,router agent response,rouge
1,1,"Hi, I'm looking to get motor insurance for my new electric vehicle. It's a 2024 Tesla Model 3.","Great choice! The Tesla Model 3 is an excellent vehicle. Since you've opted for an EV, are you particularly interested in coverage specific to electric vehicles, like battery protection?","Hello! I'm pleased to help you find the right insurance for your 2024 Tesla Model 3. We have specialized coverage options for electric vehicles that include theft protection, accidental damage, and battery care. Let's get started with a personalized quote for your needs.",0.32
2,1,"Yes, battery protection is definitely a concern. It's a big investment, and I want to make sure it's covered.","Absolutely. The battery is the heart of your Tesla. With Tata AIG, you get rapid claims resolution combining thorough coverage with rapid claims resolution. It integrates technology with traditional risk management practices, ensuring that claims are processed quickly and effectively.","Absolutely, we understand the importance of protecting your investment. Our EV insurance policy includes comprehensive battery protection coverage, ensuring that your Tesla Model 3 is safeguarded against potential battery damage.",0.28571428571428575
3,1,What kind of coverage options do you have specifically for EVs?,"We offer a comprehensive plan that includes coverage for accidental damage, theft, and third-party liability. More importantly, we offer add-ons like Zero Depreciation Cover and Engine & Gearbox Protection. And our online policy management system makes everything simple for someone like you.","We have a range of tailored coverage options for electric vehicles, including specialized battery protection and comprehensive plans that address common concerns like theft and accidental damage. Rest assured, your Tesla Model 3 will be covered with the utmost care.",0.38554216867469876
4,1,"Okay, that sounds pretty good. Can you give me a quote?","Sure. For a 2024 Tesla Model 3 with comprehensive coverage including battery protection and roadside assistance, the annual premium would be approximately $2800. This includes a discount for purchasing the policy online.","Certainly! I'll arrange for a personalized quote to be sent to you. Our comprehensive plan with add ons like Zero Depreciation Cover, Engine & Gearbox Protection, and our convenient online policy management system will provide robust protection for your Tesla Model 3. You'll be able to review all the details and make a well informed decision.",0.33707865168539325
5,1,That's within my budget. What's the claim process like if I need to use it?,"The claim process is designed to be as smooth and hassle-free as possible. Accidents are unpredictable, but the financial stress doesn’t have to be. We offer prompt claims settlement, so you can focus on recovery, not paperwork. Our team is available 24/7 to guide you through the process.","I'm glad to hear that the quote fits your budget. Our claim process is designed to be as smooth and hassle free as possible. Should you need to file a claim, you can do so through our online portal or by contacting our 24/7 helpline. After filing, our team will assess the claim and guide you through the necessary steps. For added convenience, we also provide roadside assistance which you can avail of anytime, anywhere. Our priority is to make sure your experience is stress free, even in unforeseen circumstances.",0.46153846153846156
6,2,"Hi, I'm looking to get insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.","The Interceptor 650 is an excellent bike! As a professional, do you use it mainly for leisure or commuting?","Hello! It's wonderful that you're considering insurance for your Royal Enfield Interceptor 650. We have a variety of tailored plans that offer protection against accidents, theft, and other potential risks. Let's find the right coverage that meets your needs and keeps your motorcycle secure.",0.21212121212121215
7,2,"Mostly for weekend rides, so leisure I guess.","Since you are not a daily commuter, you might not need the most expensive plan out there. However, accidents can still happen, especially on leisure rides. Our comprehensive plan ensures you're financially protected from unexpected damages.","Certainly, for leisure use like weekend rides, we have insurance plans tailored to your needs. Your 2022 Royal Enfield Interceptor 650 will be covered for theft, accidents, and third party liabilities. Let's get you a quote that suits your biking lifestyle.",0.1772151898734177
8,2,What's covered in a comprehensive plan?,"It covers damages to your bike from accidents, theft, natural disasters, and third-party liabilities. Tata AIG is designed to address modern vehicle risks, this insurance product combines thorough coverage with rapid claims resolution.","A comprehensive plan typically covers damages to your bike from accidents, theft, fire, and natural calamities. It also includes third party liability which is crucial for any unforeseen incidents involving other parties.",0.45454545454545453
9,2,"Okay, that sounds good. What about roadside assistance?","Roadside assistance is available as part of our comprehensive coverage and offers help if you experience vehicle breakdowns, requiring towing services, tire changes, fuel delivery, or emergency repairs while on the road.","Roadside assistance is available as part of our comprehensive plan, providing you with support in case of a breakdown or any issues during your rides.",0.42105263157894735
10,2,How much would this cost me?,"For a 2022 Royal Enfield Interceptor 650 with comprehensive coverage, it would be approximately $950 annually. And since you only use your bike for leisure, we can offer a discount making it $850 annually.","The cost of our comprehensive plan, including roadside assistance, for your 2022 Royal Enfield Interceptor 650, varies based on several factors, but to give you a general idea, it starts at approximately INR 3,500 annually. This plan offers extensive protection for your bike, ensuring peace of mind during your weekend rides. For a precise quote tailored to your needs, we can connect you with one of our expert agents who can further assist you.",0.36697247706422015
