id,conversation_id,user_query,agent_reply,single agent,rouge
1,1,"Hi, I'm looking to get motor insurance for my new electric vehicle. It's a 2024 Tesla Model 3.","Great choice! The Tesla Model 3 is an excellent vehicle. Since you've opted for an EV, are you particularly interested in coverage specific to electric vehicles, like battery protection?","Hello! That sounds great. For your new Tesla Model 3, I recommend our Electric Vehicle Insurance package. It offers comprehensive coverage at a competitive rate. Would you like to know more about the specifics?",0.40625
2,1,"Yes, battery protection is definitely a concern. It's a big investment, and I want to make sure it's covered.","Absolutely. The battery is the heart of your Tesla. With Tata AIG, you get rapid claims resolution combining thorough coverage with rapid claims resolution. It integrates technology with traditional risk management practices, ensuring that claims are processed quickly and effectively.","Of course, we offer comprehensive battery protection coverage for electric vehicles like your Tesla Model 3. Let's discuss the options and find the best plan for you.",0.2647058823529412
3,1,What kind of coverage options do you have specifically for EVs?,"We offer a comprehensive plan that includes coverage for accidental damage, theft, and third-party liability. More importantly, we offer add-ons like Zero Depreciation Cover and Engine & Gearbox Protection. And our online policy management system makes everything simple for someone like you.","We offer comprehensive EV coverage, including battery protection, charging equipment, and possible roadside assistance. Our plans also address risks like fire damage and theft, tailored for electric vehicles.",0.3943661971830986
4,1,"Okay, that sounds pretty good. Can you give me a quote?","Sure. For a 2024 Tesla Model 3 with comprehensive coverage including battery protection and roadside assistance, the annual premium would be approximately $2800. This includes a discount for purchasing the policy online.","Certainly! I'll just need a few more details like your location, driving history and any additional features you might want on the vehicle. Hold tight for a moment while I generate your quote.",0.15151515151515152
5,1,That's within my budget. What's the claim process like if I need to use it?,"The claim process is designed to be as smooth and hassle-free as possible. Accidents are unpredictable, but the financial stress doesn’t have to be. We offer prompt claims settlement, so you can focus on recovery, not paperwork. Our team is available 24/7 to guide you through the process.","Our claim process is simple and efficient. In the event of an incident, you reach out to us through our toll free number or online portal. We guide you through the claim filing process, which should be completed within 24 hours. After validation, the repair process begins, usually within a few business days. We also provide roadside assistance for immediate help.",0.3392857142857143
6,2,"Hi, I'm looking to get insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.","The Interceptor 650 is an excellent bike! As a professional, do you use it mainly for leisure or commuting?","Hello! We offer comprehensive bike insurance for your 2022 Royal Enfield Interceptor 650. To proceed, I'd need some details about your bike and usage. Let's get started!",0.16666666666666666
7,2,"Mostly for weekend rides, so leisure I guess.","Since you are not a daily commuter, you might not need the most expensive plan out there. However, accidents can still happen, especially on leisure rides. Our comprehensive plan ensures you're financially protected from unexpected damages.","Great! For leisure use, I recommend our Comprehensive Insurance Plan. It offers complete coverage for your bike, including theft, damage, and third party liability. Would you like to proceed with this option?",0.17391304347826086
8,2,What's covered in a comprehensive plan?,"It covers damages to your bike from accidents, theft, natural disasters, and third-party liabilities. Tata AIG is designed to address modern vehicle risks, this insurance product combines thorough coverage with rapid claims resolution.","A comprehensive plan covers theft, damage from accidents, natural disasters, and vandalism. It also includes a replacement cost in case of theft or irreparable damage.",0.30508474576271183
9,2,"Okay, that sounds good. What about roadside assistance?","Roadside assistance is available as part of our comprehensive coverage and offers help if you experience vehicle breakdowns, requiring towing services, tire changes, fuel delivery, or emergency repairs while on the road.","Our comprehensive plan includes roadside assistance as well. In case you face any issues like a flat tire or your bike breaks down, we'll arrange immediate help for you.",0.29032258064516125
10,2,How much would this cost me?,"For a 2022 Royal Enfield Interceptor 650 with comprehensive coverage, it would be approximately $950 annually. And since you only use your bike for leisure, we can offer a discount making it $850 annually.","The cost varies based on factors like your location, usage, and optional add ons. However, for your specific Interceptor 650 used mainly for leisure, it could be around $600 to $800 annually. Please let me know if you want a personalized quote.",0.34210526315789475
